date,open_interest,funding_rate
2026-08-18 00:00:00+00:00,106396.499,5.164e-05
2026-08-18 01:00:00+00:00,106530.932,5.164e-05
2026-08-18 02:00:00+00:00,106702.488,5.164e-05
2026-08-18 03:00:00+00:00,106074.304,5.164e-05
2026-08-18 04:00:00+00:00,106155.27,5.164e-05
2026-08-18 05:00:00+00:00,106022.558,5.02e-05
2026-08-18 06:00:00+00:00,105798.126,5.02e-05
2026-08-18 07:00:00+00:00,105812.793,5.02e-05
2026-08-18 08:00:00+00:00,105932.197,5.02e-05
2026-08-18 09:00:00+00:00,105761.156,5.02e-05
2026-08-18 10:00:00+00:00,105755.516,5.02e-05
2026-08-18 11:00:00+00:00,105705.056,5.02e-05
2026-08-18 12:00:00+00:00,106077.93,5.02e-05
2026-08-18 13:00:00+00:00,105863.195,3.65e-05
2026-08-18 14:00:00+00:00,105504.698,3.65e-05
2026-08-18 15:00:00+00:00,106202.444,3.65e-05
2026-08-18 16:00:00+00:00,106618.169,3.65e-05
2026-08-18 17:00:00+00:00,107045.564,3.65e-05
2026-08-18 18:00:00+00:00,106952.446,3.65e-05
2026-08-18 19:00:00+00:00,106938.804,3.65e-05
2026-08-18 20:00:00+00:00,107010.008,3.65e-05
2026-08-18 21:00:00+00:00,106712.238,1.617e-05
2026-08-18 22:00:00+00:00,106582.187,1.617e-05
2026-08-18 23:00:00+00:00,106520.778,1.617e-05
2026-08-19 00:00:00+00:00,106272.683,1.617e-05
2026-08-19 01:00:00+00:00,106294.994,1.617e-05
2026-08-19 02:00:00+00:00,106166.976,1.617e-05
2026-08-19 03:00:00+00:00,105910.612,1.617e-05
2026-08-19 04:00:00+00:00,105603.985,1.617e-05
2026-08-19 05:00:00+00:00,105314.023,3.815e-05
2026-08-19 06:00:00+00:00,105438.634,3.815e-05
2026-08-19 07:00:00+00:00,104929.299,3.815e-05
2026-08-19 08:00:00+00:00,104820.468,3.815e-05
2026-08-19 09:00:00+00:00,104843.652,3.815e-05
2026-08-19 10:00:00+00:00,104984.319,3.815e-05
2026-08-19 11:00:00+00:00,104969.385,3.815e-05
2026-08-19 12:00:00+00:00,104745.821,3.815e-05
2026-08-19 13:00:00+00:00,105229.58,0.0001
2026-08-19 14:00:00+00:00,106703.97,0.0001
2026-08-19 15:00:00+00:00,110212.45,0.0001
2026-08-19 16:00:00+00:00,109531.132,0.0001
2026-08-19 17:00:00+00:00,111010.143,0.0001
2026-08-19 18:00:00+00:00,109995.121,0.0001
2026-08-19 19:00:00+00:00,109592.796,0.0001
2026-08-19 20:00:00+00:00,109966.828,0.0001
2026-08-19 21:00:00+00:00,109122.455,9.655e-05
2026-08-19 22:00:00+00:00,107098.179,9.655e-05
2026-08-19 23:00:00+00:00,107284.833,9.655e-05
2026-08-20 00:00:00+00:00,107490.19,9.655e-05
2026-08-20 01:00:00+00:00,107589.685,9.655e-05
2026-08-20 02:00:00+00:00,107894.607,9.655e-05
2026-08-20 03:00:00+00:00,109289.832,9.655e-05
2026-08-20 04:00:00+00:00,109116.989,9.655e-05
2026-08-20 05:00:00+00:00,109165.099,0.0001
2026-08-20 06:00:00+00:00,109277.697,0.0001
2026-08-20 07:00:00+00:00,110090.074,0.0001
2026-08-20 08:00:00+00:00,110370.261,0.0001
2026-08-20 09:00:00+00:00,108283.873,0.0001
2026-08-20 10:00:00+00:00,108177.338,0.0001
2026-08-20 11:00:00+00:00,108286.571,0.0001
2026-08-20 12:00:00+00:00,108550.212,0.0001
2026-08-20 13:00:00+00:00,108099.22,9.422e-05
2026-08-20 14:00:00+00:00,108421.922,9.422e-05
2026-08-20 15:00:00+00:00,109035.808,9.422e-05
2026-08-20 16:00:00+00:00,108567.777,9.422e-05
2026-08-20 17:00:00+00:00,108286.04,9.422e-05
2026-08-20 18:00:00+00:00,108804.106,9.422e-05
2026-08-20 19:00:00+00:00,108063.482,9.422e-05
2026-08-20 20:00:00+00:00,107836.69,9.422e-05
2026-08-20 21:00:00+00:00,107587.883,4.964e-05
2026-08-20 22:00:00+00:00,107201.188,4.964e-05
2026-08-20 23:00:00+00:00,107070.434,4.964e-05
2026-08-21 00:00:00+00:00,107624.685,4.964e-05
2026-08-21 01:00:00+00:00,107984.173,4.964e-05
2026-08-21 02:00:00+00:00,107902.59,4.964e-05
2026-08-21 03:00:00+00:00,107316.966,4.964e-05
2026-08-21 04:00:00+00:00,108002.806,4.964e-05
2026-08-21 05:00:00+00:00,108624.505,5.814e-05
2026-08-21 06:00:00+00:00,109232.944,5.814e-05
