date,open_interest,funding_rate
2026-08-16 08:00:00+00:00,8656061.52,-2.592e-05
2026-08-16 09:00:00+00:00,8656338.84,-2.592e-05
2026-08-16 10:00:00+00:00,8684768.26,-2.592e-05
2026-08-16 11:00:00+00:00,8717626.25,-2.592e-05
2026-08-16 12:00:00+00:00,8716305.14,-2.592e-05
2026-08-16 13:00:00+00:00,8731659.8,-1.428e-05
2026-08-16 14:00:00+00:00,8745142.43,-1.428e-05
2026-08-16 15:00:00+00:00,8747991.79,-1.428e-05
2026-08-16 16:00:00+00:00,8688705.5,-1.428e-05
2026-08-16 17:00:00+00:00,8701656.17,-1.428e-05
2026-08-16 18:00:00+00:00,8681145.05,-1.428e-05
2026-08-16 19:00:00+00:00,8717813.24,-1.428e-05
2026-08-16 20:00:00+00:00,8710064.81,-1.428e-05
2026-08-16 21:00:00+00:00,8733520.27,-4.738e-05
2026-08-16 22:00:00+00:00,8776043.0,-4.738e-05
2026-08-16 23:00:00+00:00,8857588.92,-4.738e-05
2026-08-17 00:00:00+00:00,8904062.8,-4.738e-05
2026-08-17 01:00:00+00:00,8888028.88,-4.738e-05
2026-08-17 02:00:00+00:00,8737207.23,-4.738e-05
2026-08-17 03:00:00+00:00,8683381.45,-4.738e-05
2026-08-17 04:00:00+00:00,8591433.6,-4.738e-05
2026-08-17 05:00:00+00:00,8563637.59,4.746e-05
2026-08-17 06:00:00+00:00,8530819.57,4.746e-05
2026-08-17 07:00:00+00:00,8506670.75,4.746e-05
2026-08-17 08:00:00+00:00,8503631.71,4.746e-05
2026-08-17 09:00:00+00:00,8516991.32,4.746e-05
2026-08-17 10:00:00+00:00,8525160.78,4.746e-05
2026-08-17 11:00:00+00:00,8556153.43,4.746e-05
2026-08-17 12:00:00+00:00,8586136.78,4.746e-05
2026-08-17 13:00:00+00:00,8601850.06,-1.69e-05
2026-08-17 14:00:00+00:00,8564130.82,-1.69e-05
2026-08-17 15:00:00+00:00,8599074.18,-1.69e-05
2026-08-17 16:00:00+00:00,8628886.12,-1.69e-05
2026-08-17 17:00:00+00:00,8654039.97,-1.69e-05
2026-08-17 18:00:00+00:00,8638882.1,-1.69e-05
2026-08-17 19:00:00+00:00,8677651.12,-1.69e-05
2026-08-17 20:00:00+00:00,8688256.78,-1.69e-05
2026-08-17 21:00:00+00:00,8666572.24,3.077e-05
2026-08-17 22:00:00+00:00,8656893.06,3.077e-05
2026-08-17 23:00:00+00:00,8672414.22,3.077e-05
2026-08-18 00:00:00+00:00,8662353.75,3.077e-05
2026-08-18 01:00:00+00:00,8661987.9,3.077e-05
2026-08-18 02:00:00+00:00,8602043.16,3.077e-05
2026-08-18 03:00:00+00:00,8591136.26,3.077e-05
2026-08-18 04:00:00+00:00,8599994.65,3.077e-05
2026-08-18 05:00:00+00:00,8601855.53,-4.037e-05
2026-08-18 06:00:00+00:00,8602283.16,-4.037e-05
2026-08-18 07:00:00+00:00,8622208.23,-4.037e-05
2026-08-18 08:00:00+00:00,8678849.56,-4.037e-05
2026-08-18 09:00:00+00:00,8711769.41,-4.037e-05
2026-08-18 10:00:00+00:00,8703827.09,-4.037e-05
2026-08-18 11:00:00+00:00,8673348.16,-4.037e-05
2026-08-18 12:00:00+00:00,8713174.49,-4.037e-05
2026-08-18 13:00:00+00:00,8783287.84,0.0001
2026-08-18 14:00:00+00:00,8757443.58,0.0001
2026-08-18 15:00:00+00:00,8959443.72,0.0001
2026-08-18 16:00:00+00:00,8975513.51,0.0001
2026-08-18 17:00:00+00:00,9019068.47,0.0001
2026-08-18 18:00:00+00:00,9044553.9,0.0001
2026-08-18 19:00:00+00:00,9083322.31,0.0001
2026-08-18 20:00:00+00:00,9073450.89,0.0001
2026-08-18 21:00:00+00:00,9025411.75,0.0001
2026-08-18 22:00:00+00:00,9007406.37,0.0001
2026-08-18 23:00:00+00:00,9052477.55,0.0001
2026-08-19 00:00:00+00:00,9061886.06,0.0001
2026-08-19 01:00:00+00:00,9055260.67,0.0001
2026-08-19 02:00:00+00:00,9024579.27,0.0001
2026-08-19 03:00:00+00:00,9012066.66,0.0001
2026-08-19 04:00:00+00:00,9019980.63,0.0001
2026-08-19 05:00:00+00:00,8998571.97,9.206e-05
2026-08-19 06:00:00+00:00,8993365.31,9.206e-05
2026-08-19 07:00:00+00:00,9020939.2,9.206e-05
2026-08-19 08:00:00+00:00,9044586.56,9.206e-05
2026-08-19 09:00:00+00:00,9077717.43,9.206e-05
